X	Y
3518459	1693724.819
1816222.116	1637938.6
2060398.232	1661954.241
2312856.122	1978731.466
1992213.589	1180295.591
2229035.116	2309712.896
1956480.201	2223269.324
2160242.47	2484614.713
1980220.108	1333198.03
1896492.264	2375532.028
1422105.806	2462405.22
2739353.354	1770063.683
1976594.261	1332812.436
1596128.248	2044997.437
3037890.663	2010721.473
2305454.103	2099369.755
1595431.398	2045643.185
2039484.354	1303614.741
3722123.999	2393560.886
2325068.773	2243955.112
2387056.069	1747601.959
1596102.595	2045545.55
2136535.27	2353588.238
2391747.075	1256106.549
1833599.728	1730098.972
2669766.884	1556318.758
1936077.856	2380615.134
2136536.4	2437582.44
2118283.891	2338166.081
3492093.89	1683178.01
2318157.148	1469862.748
1594608.958	2045538.15
1815121.233	1638465.474
1595539.624	2045038.03
2270890.498	2567941.913
3589723.979	2097290.348
1975968.143	1335726.595
3552742.807	2014553.332
2035681.67	1671052.323
1808659	1571624.076
2110820.937	2246137.538
2881206.368	1931670.152
2568034.67	1693702.499
2161326.009	2402457.717
2605109.231	1681469.389
2158263.265	2366818.856
3209846.885	2255578.199
1421714.956	2462494.369
1826434.67	2525576.503
3139791.671	2189943.047
1596886.334	2045119.999
486155.1771	3397032.87
1871462.569	2342870.116
2271763.815	2568000.752
3408410.963	1687566.287
3494680.799	1697144.436
1911998.406	2332817.222
3538834.972	1325438.302
2067903.252	2370247.664
1665406.195	2292078.537
2730690.397	2090566.921
1768535.568	1476004.455
2523870.577	2033363.252
1951915.709	1549735.392
1992173.953	1180251.493
1998071.617	1287927.063
1833072.662	1730031.688
3105744.008	1193379.227
2386329.768	1747596.603
2141151.792	2387795.459
1754424.27	1435770.065
2094488.034	1743952.121
3635876.758	1582186.534
2209553.926	2304442.433
2543900.448	1683110.319
1667922.181	2076642.678
2184596.493	1417185.272
2156610.234	1716008.018
2975881.912	1686193.782
2365051.743	322476.9896
3307770.601	2228474.593
1782079.987	1565763.982
1768905.052	1476060.223
488379.8495	3396988.616
1935171.932	2176056.61
1924356.011	1590496.758
1966496.062	2305662.205
1832044.762	1730223.816
1591566.712	2043617.95
2962825.594	2037468.869
3155506.505	1274066.324
2402528.221	2045142.504
2354616.57	2023116.157
1816343.819	1639566.189
1592574.521	2044914.458
2113901.923	1976419.314
2084911.064	2289938.914
2062321.588	2378838.995
1712666.969	2414696.329
2208062.234	2476239.513
3705968.212	1748586.232
1791257.693	1663675.103
2981478.594	1889394.836
4110981.017	2412910.948
2362552.964	2978269.891
2362919.734	324160.2074
1982967.038	2189860.827
2171165.178	2428606.995
2091726.251	2308701.269
2906773.356	1120389.99
1595457.021	2045371.528
2251045.303	2514716.324
3638874.539	1809181.793
1816847.781	1639006.862
1770063.143	1475900.132
2218680.804	2506485.783
3348724.786	2665528.133
1595311.061	2801031.527
1977332.322	1335712.365
3726746.727	2073558.074
1808265.952	1634236.893
3517961.376	1920875.628
1851914.985	2128605.019
2037356.229	1670548.044
2029534.518	2210790.019
3817035.742	2117391.992
1594976.509	2046060.252
2340570.966	2311204.083
1922586.009	1590427.121
2134220.151	2459592.299
1509141.083	2484004.327
2382076.115	1378939.199
2434002.337	1490063.458
3196639.294	1323894.634
1941754.796	2331245.142
2995334.094	1815178.316
2040895.256	1599210.198
3042643.259	2301284.493
2092194.663	1736046.07
1976105.922	1332734.034
2625975.579	1537878.866
2031993.459	2006123.643
1816933.47	1638388.765
2230897.849	2269676.854
2305935.129	896563.5835
1595162.93	2044367.961
1595862.406	2045125.042
1593257.766	2044102.559
2363739.608	323862.7528
1541560.406	2158299.31
1812182.362	1567307.745
3176142.615	2723459.923
2110773.31	1727754.419
2585416.512	1674148.466
1833253.176	1730512.64
3071111.526	1908877.308
1932763.862	2353428.681
2386528.162	1747568.195
4205783.057	2915718.622
2417953.886	1414065.846
1798399.226	2442092.459
1823058.287	1975625.591
2160938.46	1789527.835
2417679.149	1413433.424
2992374.156	1927404.329
1934416.147	2325398.589
2196504.489	2527308.093
3177977.569	1151055.322
2225020.058	1961259.955
2227303.392	2309549.213
3354840.167	1491423.529
1808360.154	1572046.668
1613790.776	2845308.257
1921583.419	1590841.592
1422660.985	2463045.882
2881475.803	1931047.622
1722690.031	2339297.755
2505512.644	1640756.582
2167704.756	2335289.014
1816482.162	1639893.13
1808837.825	1903122.126
1901281.899	2230239.775
